Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1.0,1.0,55.0,0,62.0,3,0,1,True,True,18519,0,False,0,1,0,2,30.0,2.92,86.4,2,163.30864
5.0,3.0,131.0,2,66.0,2,0,0,False,False,19542,0,False,0,0,0,1,18.0,3.23,79.2,1,125.53585
2.0,5.0,135.0,2,43.324884792626726,0,0,0,True,False,18343,3,False,0,2,1,2,6.0,2.33,80.4,1,113.45225
1.0,1.0,148.0,2,67.0,1,0,1,True,True,19168,1,False,1,1,1,1,13.0,2.18,236.8,1,197.56165
1.0,1.0,123.0,0,46.0,0,1,2,False,True,18850,3,False,2,1,1,2,6.0,3.3,123.0,0,181.47853
1.0,1.0,75.0,0,48.0,0,0,1,True,True,18634,1,False,1,2,2,0,6.0,1.61,121.6,1,124.02127
2.0,1.0,60.0,0,57.0,0,1,0,True,True,18650,2,False,1,2,2,1,6.0,4.57,36.0,0,108.57208
1.0,1.0,28.0,1,58.0,2,0,2,False,False,18845,3,False,2,1,1,2,18.0,3.0,27.0,2,239.249
2.0,2.0,109.0,0,61.0,0,0,0,True,True,19347,1,False,1,2,1,1,6.0,1.25,65.4,2,261.48013
1.0,1.0,42.0,0,55.0,3,1,2,False,False,19495,0,False,1,1,1,0,30.0,1.8,41.0,0,70.74257
2.0,2.0,122.0,1,46.0,2,0,1,True,True,18683,0,False,1,1,0,0,18.0,2.52,195.2,1,421.08151
3.0,2.0,126.0,0,70.0,2,0,2,False,False,19667,0,False,1,0,2,0,18.0,2.26,127.0,0,185.02238
1.0,1.0,53.0,0,43.324884792626726,0,1,1,True,True,19708,2,False,1,1,1,1,6.0,2.26,83.2,2,217.89522
2.0,1.0,96.0,0,45.0,1,0,1,True,True,19574,3,False,0,1,1,0,13.0,2.01,155.2,2,312.75705
1.0,1.0,87.0,1,43.324884792626726,3,0,0,True,True,19201,0,False,1,1,1,0,30.0,1.95,51.6,0,240.66786
1.0,1.0,53.0,0,53.0,2,0,0,True,True,19369,1,False,0,1,0,2,18.0,2.49,30.6,0,119.73483
3.0,3.0,105.0,2,35.0,0,0,1,True,True,18682,0,False,1,0,0,1,13.0,3.05,166.4,1,162.44479
1.0,2.0,107.0,1,43.324884792626726,2,0,1,False,True,19671,1,False,2,1,0,2,18.0,1.25,171.2,2,479.65941
4.0,5.0,146.0,1,38.0,0,0,0,False,True,19602,2,False,1,1,0,1,6.0,4.18,87.0,0,281.88428
3.0,3.0,108.0,0,6.0,0,1,0,False,True,19482,1,False,2,1,2,1,6.0,2.44,65.4,0,249.23883
1.0,1.0,46.0,0,61.0,2,1,2,True,True,18682,1,False,2,1,0,2,18.0,1.83,45.0,0,127.21809
1.0,3.0,128.0,0,49.0,2,1,1,False,True,18525,1,False,0,1,1,1,18.0,1.48,203.2,0,248.73593
1.0,1.0,24.0,1,56.0,0,0,1,True,True,18808,0,False,0,1,1,1,6.0,1.75,38.4,0,98.25825
2.0,2.0,95.0,2,37.0,0,1,2,False,True,19731,3,False,0,0,1,2,6.0,1.62,95.0,2,156.45879
1.0,3.0,140.0,0,43.0,0,0,2,True,True,18361,0,False,0,2,1,1,6.0,2.46,140.0,0,204.15507
1.0,2.0,64.0,1,53.0,0,0,0,False,False,19194,3,False,2,1,0,0,6.0,3.12,38.4,2,224.47509
1.0,1.0,75.0,1,43.324884792626726,2,1,1,False,False,19198,2,False,2,0,0,0,18.0,3.65,120.0,0,184.88418
2.0,1.0,96.0,2,35.0,2,1,1,True,True,19267,2,False,2,1,1,2,18.0,2.04,152.0,2,207.61833
1.0,1.0,50.0,2,69.0,2,0,2,True,True,19168,0,False,2,2,0,1,18.0,2.56,50.0,2,143.14671
1.0,1.0,66.0,2,43.324884792626726,1,0,0,False,True,19058,1,False,2,0,1,2,13.0,1.63,39.6,2,126.37749
1.0,3.0,114.0,0,71.0,0,0,2,False,True,19188,2,False,0,2,0,0,6.0,4.02,111.0,2,152.99477
1.0,2.0,89.0,0,37.0,0,0,1,False,False,19747,2,False,1,2,0,2,6.0,4.52,142.4,1,280.15361
1.0,1.0,61.0,0,44.0,0,0,0,True,True,19029,2,False,2,1,1,1,6.0,1.88,36.0,2,289.75282
1.0,1.0,49.0,0,7.0,0,0,1,True,True,18730,0,False,2,2,2,2,6.0,1.89,78.4,1,197.932
1.0,3.0,105.0,2,41.0,0,0,2,True,False,19053,3,False,2,1,1,0,6.0,3.08,105.0,2,138.48531
3.0,3.0,108.0,1,57.0,0,0,1,False,True,19802,2,False,1,1,1,0,6.0,4.21,169.6,0,293.23744
1.0,1.0,29.0,1,50.0,2,1,1,True,True,18361,0,False,0,2,2,1,18.0,2.33,48.0,0,169.95885
1.0,1.0,98.0,0,65.0,3,0,0,False,True,18385,0,False,2,1,2,2,30.0,2.68,58.2,1,239.32018
2.0,4.0,140.0,0,14.0,0,0,0,False,True,19006,2,False,1,1,2,2,6.0,2.97,84.0,2,300.77182
1.0,1.0,24.0,1,31.0,1,0,1,False,False,19363,0,False,1,1,0,1,13.0,3.11,40.0,1,164.43206
1.0,1.0,40.0,0,33.0,0,0,2,False,True,19289,1,False,0,1,1,2,6.0,1.5,37.0,2,184.18116
1.0,2.0,96.0,1,43.324884792626726,0,1,2,True,False,18973,3,False,0,1,2,1,6.0,2.72,96.0,2,292.6281
3.0,2.0,122.0,2,48.0,0,0,0,False,True,18265,1,False,1,2,1,1,6.0,2.27,72.6,1,121.12918
1.0,1.0,46.0,2,56.0,0,0,1,True,False,18683,2,False,1,1,1,1,6.0,4.29,72.0,0,52.52757
1.0,1.0,40.0,2,12.0,2,0,2,True,True,19354,1,False,1,1,1,1,18.0,2.66,40.0,0,81.75812
1.0,2.0,96.0,2,56.0,0,1,2,False,True,19712,2,False,2,1,1,1,6.0,2.98,97.0,2,158.91664
1.0,1.0,29.0,0,65.0,0,0,1,True,False,19290,1,False,1,0,2,1,6.0,1.03,48.0,0,70.19246
2.0,1.0,98.0,1,46.0,2,1,0,True,False,19745,2,False,1,1,1,1,18.0,2.93,58.8,1,272.95012
1.0,2.0,83.0,0,33.0,0,1,1,False,False,19703,0,False,0,1,0,0,6.0,2.7,136.0,2,219.33793
1.0,1.0,116.0,0,56.0,0,0,1,False,True,18419,0,False,2,0,2,1,6.0,2.93,184.0,1,246.25371
1.0,1.0,25.0,1,50.0,0,0,0,True,True,19805,2,False,1,2,1,0,6.0,2.78,15.0,0,96.36782
2.0,1.0,143.0,1,41.0,0,0,1,False,True,19216,3,False,2,2,1,0,6.0,2.13,230.4,0,365.07845
3.0,1.0,123.0,0,35.0,1,0,1,True,False,18808,1,False,2,1,2,2,13.0,2.6,196.8,1,266.47092
2.0,1.0,71.0,0,56.0,0,0,0,False,False,19655,3,False,1,1,0,1,6.0,1.53,42.6,1,175.46508
1.0,1.0,35.0,0,38.0,0,0,1,False,True,19555,1,True,0,0,0,2,6.0,1.1,57.6,2,188.49035
1.0,1.0,86.0,2,43.324884792626726,0,0,0,True,True,18804,1,False,1,1,2,2,6.0,1.59,51.6,0,72.32297
1.0,1.0,52.0,2,54.0,0,0,2,True,True,18847,1,False,2,2,2,0,6.0,1.75,50.0,2,125.74918
1.0,1.0,119.0,1,34.0,3,0,1,True,True,19292,1,False,2,1,1,1,30.0,2.75,192.0,0,422.58851
2.0,1.0,97.0,0,34.0,1,0,0,False,True,18306,2,False,2,1,1,1,13.0,4.72,58.2,0,145.39841
2.0,1.0,74.0,0,67.0,2,0,0,False,True,18650,3,False,2,1,2,1,18.0,3.35,44.4,0,140.09562
1.0,1.0,110.0,0,43.324884792626726,0,1,1,True,False,19354,0,False,1,1,1,2,6.0,3.19,172.8,1,215.49329
2.0,5.0,141.0,0,34.0,0,0,1,True,True,19394,2,False,2,1,1,2,6.0,4.82,225.6,0,417.00747
1.0,2.0,148.0,1,31.0,0,0,1,True,True,19236,1,False,0,0,1,1,18.0,2.25,238.4,0,419.67042
2.0,1.0,94.0,0,44.0,2,1,0,False,True,18771,3,False,1,0,0,1,18.0,1.66,56.4,0,143.11076
1.0,3.0,103.0,2,43.324884792626726,0,1,0,False,False,19353,1,False,2,1,1,1,6.0,1.72,62.4,0,68.12517
2.0,1.0,61.0,0,34.0,2,0,1,False,True,18652,1,False,0,0,0,1,18.0,1.2,99.2,1,195.55564
1.0,1.0,93.0,2,64.0,1,1,1,False,True,18648,3,False,0,2,1,2,13.0,3.43,148.8,2,170.46746
1.0,1.0,120.0,2,37.0,0,0,1,False,True,19643,3,False,1,1,1,1,6.0,1.89,193.6,0,133.7091
1.0,1.0,50.0,0,18.0,2,0,1,False,False,18323,0,False,1,1,2,0,18.0,2.68,81.6,0,119.2975
1.0,1.0,22.0,1,34.0,0,0,1,True,True,19798,3,False,0,2,1,1,6.0,3.44,35.2,1,193.1176
1.0,2.0,132.0,0,10.0,0,0,1,True,True,18667,3,False,1,2,2,1,6.0,2.76,211.2,2,502.1608
3.0,2.0,105.0,2,59.0,2,0,2,True,False,18610,2,False,2,1,1,2,18.0,1.29,107.0,2,157.34892
3.0,2.0,132.0,1,24.0,0,1,1,False,True,19158,3,False,1,1,1,0,6.0,2.57,211.2,2,486.33016
1.0,2.0,113.0,0,54.0,0,0,2,False,True,19123,3,False,0,1,2,1,13.0,2.47,113.0,0,255.47721
5.0,2.0,134.0,0,31.0,0,1,2,False,True,18913,3,False,1,1,0,1,6.0,2.91,132.0,2,182.68427
2.0,1.0,97.0,1,44.0,2,0,1,True,False,18513,3,False,2,2,1,1,18.0,1.82,155.2,0,268.55608
2.0,1.0,86.0,2,43.0,0,0,0,False,True,19229,0,False,1,2,0,2,6.0,2.22,51.6,2,136.7994
2.0,1.0,81.0,0,52.0,2,0,2,False,True,19040,0,False,0,1,1,1,18.0,1.3,83.0,0,158.83264
4.0,3.0,130.0,1,70.0,0,0,1,False,False,19649,2,False,1,0,1,1,6.0,3.95,208.0,2,411.05078
1.0,3.0,108.0,0,64.0,0,1,1,False,True,18598,0,False,2,2,1,0,6.0,2.38,172.8,1,246.24659
1.0,2.0,77.0,2,45.0,0,0,0,True,False,19496,0,False,2,2,2,2,6.0,2.71,46.2,2,125.95653
2.0,1.0,97.0,0,27.0,0,1,2,False,False,19375,3,False,2,1,1,2,6.0,1.53,99.0,0,142.27709
2.0,5.0,145.0,1,60.0,0,1,1,True,True,19591,1,False,2,1,1,2,6.0,2.43,235.2,1,498.5805
1.0,2.0,69.0,1,28.0,1,0,1,False,True,18862,2,False,2,2,1,1,13.0,3.28,108.8,2,381.65751
1.0,1.0,52.0,0,32.0,0,1,2,False,True,19229,3,False,0,0,1,2,6.0,1.55,51.0,0,90.36814
1.0,2.0,81.0,0,67.0,0,0,0,False,False,18331,1,False,0,1,2,1,6.0,1.36,49.2,2,165.06985
3.0,2.0,134.0,0,42.0,2,0,0,True,True,19500,1,False,1,1,2,1,18.0,2.77,79.2,2,331.62908
2.0,2.0,101.0,2,60.0,0,1,2,False,False,19381,2,False,1,1,1,2,6.0,3.54,100.0,0,80.65366
3.0,1.0,123.0,2,54.0,3,1,0,False,True,18407,2,False,1,1,2,2,30.0,3.89,73.2,1,160.48132
1.0,3.0,125.0,2,55.0,2,1,1,False,True,18972,3,False,2,1,2,1,18.0,1.74,198.4,0,160.81482
3.0,3.0,106.0,0,27.0,2,0,1,False,True,19616,0,False,2,2,2,1,18.0,3.01,169.6,2,381.74564
2.0,2.0,61.0,2,31.0,0,0,2,False,False,19608,1,False,0,2,1,2,6.0,1.4,61.0,2,116.27013
1.0,1.0,36.0,1,43.324884792626726,0,1,0,False,True,18419,2,False,0,1,1,2,6.0,3.54,21.0,2,211.7966
2.0,1.0,91.0,2,14.0,0,0,0,False,True,19288,0,False,1,1,2,1,6.0,3.72,54.6,1,113.40347
1.0,1.0,34.0,0,21.0,3,0,0,True,True,19418,3,False,2,1,1,2,30.0,1.87,19.8,0,162.8771
1.0,2.0,82.0,0,54.0,0,0,1,True,False,18478,2,False,0,1,1,2,6.0,1.38,131.2,1,175.29105
1.0,1.0,94.0,1,55.0,0,0,2,False,False,19043,3,False,1,2,2,2,6.0,2.54,94.0,2,299.73255
2.0,1.0,112.0,0,37.0,0,0,2,True,False,18558,3,False,2,2,1,1,6.0,2.68,113.0,0,92.33584
1.0,1.0,37.0,0,-1.0,0,1,1,False,True,18326,2,False,1,0,1,1,6.0,4.92,60.8,1,140.39316
1.0,1.0,44.0,1,25.0,0,1,1,False,False,18359,1,False,2,0,2,0,6.0,1.91,67.2,1,169.5888
1.0,1.0,68.0,0,57.0,0,0,2,True,True,18808,1,False,1,1,1,1,6.0,1.65,67.0,2,216.88253
1.0,1.0,50.0,0,55.0,0,1,2,True,True,19261,1,False,0,0,1,2,6.0,1.62,49.0,1,144.6681
1.0,3.0,103.0,1,55.0,0,0,0,False,True,19770,0,False,2,1,2,2,6.0,1.73,63.0,2,374.48439
2.0,2.0,61.0,0,43.324884792626726,0,0,2,True,False,18830,0,False,0,1,2,2,6.0,2.68,61.0,2,109.71902
1.0,2.0,73.0,0,43.324884792626726,0,1,1,True,True,19600,0,False,0,0,1,1,6.0,2.47,118.4,2,249.91798
2.0,4.0,145.0,0,59.0,0,1,2,False,False,19163,2,False,1,1,2,2,6.0,4.34,145.0,2,273.78549
1.0,3.0,116.0,2,49.0,0,0,1,False,False,18607,3,False,1,2,0,2,6.0,2.53,185.6,2,155.6722
1.0,1.0,24.0,0,61.0,0,0,2,False,False,19009,0,False,1,2,1,1,6.0,1.4,21.0,1,54.433
5.0,3.0,135.0,1,70.0,0,1,1,False,False,19478,1,False,0,1,0,1,6.0,1.99,216.0,2,413.52888
1.0,1.0,25.0,0,47.0,0,0,0,False,True,19520,2,False,1,1,0,0,6.0,2.01,15.0,2,151.15993
2.0,1.0,78.0,0,26.0,3,0,2,False,True,19511,1,False,1,1,0,1,30.0,1.19,78.0,2,304.19322
1.0,1.0,44.0,2,45.0,3,1,1,False,False,19548,2,False,2,2,1,0,30.0,3.05,72.0,1,115.27401
1.0,1.0,50.0,1,44.0,0,0,1,False,False,18605,3,False,2,2,0,0,6.0,3.0,80.0,0,121.48984
2.0,2.0,95.0,1,69.0,2,0,0,False,True,18335,2,False,1,0,1,0,18.0,3.78,57.0,0,193.20385
1.0,2.0,68.0,2,12.0,0,1,1,False,True,19603,2,False,1,1,2,1,6.0,2.55,108.8,2,159.76489
1.0,2.0,86.0,2,46.0,0,0,1,True,False,19094,3,False,1,0,2,0,6.0,2.09,140.8,0,87.12608
1.0,1.0,23.0,0,57.0,0,0,1,True,True,19178,0,False,1,1,1,0,6.0,1.58,35.2,2,171.8973
2.0,1.0,87.0,0,36.0,2,0,1,False,True,18580,3,False,0,1,1,1,18.0,1.9,137.6,1,143.92162
1.0,1.0,58.0,1,43.324884792626726,2,0,1,False,False,19425,2,False,1,1,1,1,18.0,3.74,91.2,1,228.08484
2.0,3.0,112.0,2,53.0,0,1,0,False,False,19044,3,False,0,1,1,2,6.0,2.9,67.8,2,124.97938
1.0,1.0,25.0,0,56.0,0,1,1,False,False,19385,2,False,1,1,1,0,6.0,3.79,40.0,0,52.10122
1.0,1.0,41.0,0,63.0,0,0,1,True,True,19486,0,False,2,0,0,1,6.0,3.16,62.4,0,131.35647
1.0,2.0,67.0,0,48.0,0,0,2,False,True,18918,1,False,1,1,1,2,6.0,1.99,67.0,0,117.69319
2.0,1.0,81.0,1,37.0,2,0,1,False,True,19181,0,False,1,1,2,1,18.0,3.29,129.6,0,282.13536
1.0,1.0,26.0,1,24.0,0,0,1,False,True,18412,3,False,1,2,1,2,6.0,2.74,41.6,1,186.82441
1.0,2.0,111.0,1,40.0,0,0,2,False,True,18919,3,False,1,0,1,0,6.0,2.47,113.0,2,359.48594
2.0,3.0,128.0,0,36.0,0,0,1,False,False,18593,2,False,2,2,2,1,6.0,2.02,206.4,2,290.95095
5.0,3.0,138.0,1,35.0,1,0,2,False,True,19641,3,False,2,0,1,2,13.0,3.26,139.0,0,357.31737
1.0,1.0,78.0,0,56.0,0,0,2,False,False,18315,0,False,2,0,0,1,6.0,1.51,78.0,0,89.2513
1.0,3.0,112.0,2,70.0,3,0,0,False,True,19565,2,False,1,0,2,2,30.0,2.54,67.8,1,162.41866
2.0,1.0,80.0,0,59.0,0,0,2,False,True,18997,1,False,1,1,1,2,6.0,2.18,81.0,2,233.3957
1.0,1.0,46.0,2,68.0,0,1,2,False,True,19757,2,False,1,1,2,1,13.0,1.65,151.05559289220676,1,96.41513
1.0,1.0,88.0,2,20.0,0,1,0,False,True,19753,3,False,1,1,1,2,6.0,3.06,109.94392534625031,0,78.5687
2.0,1.0,92.0,0,42.0,0,0,2,False,False,18825,2,False,0,0,0,0,6.0,4.57,151.2741439613605,1,140.79436
1.0,1.0,147.0,1,66.0,2,0,0,False,True,18616,1,False,1,1,0,2,18.0,1.42,110.22424084799097,2,404.10064
3.0,2.0,133.0,1,24.0,0,0,1,True,False,19561,3,False,2,0,2,0,6.0,3.25,130.81333239236216,2,437.785
1.0,1.0,25.0,1,12.0,0,1,0,True,True,19076,2,False,1,0,0,0,6.0,2.81,109.64460540371368,0,80.99881
1.0,2.0,107.0,2,42.0,0,0,1,False,False,18293,1,False,1,0,1,2,6.0,2.39,130.6898035271883,0,93.19452
1.0,1.0,43.0,0,14.0,0,1,1,True,False,18397,1,False,1,1,1,2,6.0,2.51,130.38573247445268,0,97.84387
1.0,1.0,54.0,1,41.0,0,1,1,False,True,18711,2,False,1,1,2,1,6.0,4.14,130.43799468664162,2,305.9297
2.0,2.0,86.0,2,38.0,0,1,1,False,False,19575,3,False,1,2,1,1,18.0,2.77,130.59003021300944,1,137.04618
1.0,1.0,42.0,0,65.0,0,0,0,True,True,18971,2,False,1,1,0,2,6.0,3.2,109.72537427709658,2,175.81998
1.0,1.0,68.0,2,23.0,0,0,0,False,True,19587,3,False,0,0,1,1,6.0,1.59,109.84890314227043,0,55.39365
1.0,1.0,31.0,2,32.0,0,0,0,False,True,18839,2,False,2,2,2,0,6.0,2.57,109.67311206490764,2,106.32176
1.0,2.0,95.0,0,17.0,3,0,1,False,True,19453,3,False,2,1,1,1,30.0,1.54,130.6327902048004,1,319.4221
2.0,1.0,87.0,0,46.0,0,0,0,True,True,19370,0,False,1,1,2,1,6.0,1.33,109.93917423605133,1,189.03683
1.0,1.0,55.0,0,43.324884792626726,3,0,0,False,True,19769,0,False,1,1,1,0,30.0,1.72,109.7871387096835,0,141.13943
2.0,1.0,62.0,2,33.0,0,0,0,False,True,19039,2,False,1,2,2,1,6.0,2.11,109.82039648107647,1,96.33517
1.0,1.0,74.0,0,46.0,2,0,0,False,False,19648,3,False,2,1,1,1,18.0,2.4,109.8774098034644,2,210.21342
1.0,1.0,46.0,0,71.0,0,0,1,False,True,18606,0,False,2,1,1,1,6.0,2.94,130.39998580504965,0,57.89463
3.0,3.0,126.0,0,41.0,0,0,0,False,True,19442,3,False,1,1,2,1,6.0,1.73,110.1244675338121,0,176.87952
1.0,2.0,69.0,0,67.0,1,0,0,True,False,18380,0,False,1,1,2,2,13.0,2.85,109.85365425246943,2,189.27129
1.0,1.0,95.0,0,71.0,0,1,2,False,False,18914,0,False,2,1,0,2,6.0,2.97,151.2883972919575,2,201.11313
1.0,1.0,24.0,0,60.0,2,0,0,True,True,18774,0,False,2,1,1,0,18.0,2.5,109.63985429351469,1,87.99958
2.0,3.0,127.0,0,27.0,3,0,1,True,True,18683,2,False,0,1,2,2,30.0,4.69,130.78482573116818,1,365.55414
2.0,1.0,69.0,0,32.0,3,0,1,False,True,19475,0,False,1,1,2,2,30.0,1.33,130.50926133962653,2,336.75564
1.0,2.0,140.0,2,65.0,0,0,1,True,True,18365,2,False,1,0,2,0,6.0,1.86,130.8465901637551,0,141.0717
4.0,4.0,134.0,1,13.0,0,1,2,False,True,19155,0,False,2,2,1,2,6.0,1.6,151.47369058971825,2,485.24458
1.0,1.0,30.0,0,57.0,0,0,2,False,True,18626,1,False,1,1,1,1,6.0,1.2,150.97957512902286,2,160.54858
1.0,1.0,83.0,0,20.0,2,1,1,False,False,18278,1,False,1,2,0,0,18.0,2.82,130.57577688241244,0,152.69114
1.0,1.0,30.0,1,39.0,1,0,1,True,False,18854,3,False,2,1,0,1,13.0,3.29,130.32396804186575,0,125.01933
1.0,1.0,47.0,0,64.0,0,0,0,False,False,18883,0,False,1,2,0,0,6.0,3.29,109.74912982809155,0,53.1958
